hostname,timestamp,rps,sample_index,elapsed_s,dt_s,input_size,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
intel-manager,2025-12-20T08:23:30,35,0,1.005214,1.005214,679110,131.35351525337012,149.57044098477195,280.92395623814207
intel-manager,2025-12-20T08:23:31,35,1,2.006657,1.001443,679110,122.70773262288705,138.58522905108111,261.2929616739682
intel-manager,2025-12-20T08:23:32,35,2,3.008233,1.001576,679110,121.47125180746384,139.16530270584192,260.6365545133058
intel-manager,2025-12-20T08:23:33,35,3,4.00999,1.001757,679110,114.47150967524142,143.19549362420273,257.66700329944416
intel-manager,2025-12-20T08:23:34,35,4,5.011836,1.001845,679110,117.82489875976995,133.37545110311342,251.20034986288337
intel-manager,2025-12-20T08:23:35,35,5,6.014155,1.002319,679110,126.49602322737792,148.55308449251004,275.04910771988796
intel-manager,2025-12-20T08:23:36,35,6,7.015898,1.001743,679110,121.21265765372299,147.7857293818693,268.99838703559226
intel-manager,2025-12-20T08:23:37,35,7,8.017639,1.001742,679110,109.7577786150858,139.17600942046727,248.93378803555305
intel-manager,2025-12-20T08:23:38,35,8,9.020981,1.003342,679110,118.5684156438979,141.61706306430523,260.1854787082031
intel-manager,2025-12-20T08:23:39,35,9,10.022426,1.001445,679110,109.55380097059229,141.4848870207151,251.03868799130737
intel-manager,2025-12-20T08:23:40,35,10,11.023881,1.001455,679110,114.15559755900284,142.3756257542372,256.53122331324005
intel-manager,2025-12-20T08:23:41,35,11,12.025348,1.001467,679110,121.34938386205889,149.33461248064174,270.68399634270065
intel-manager,2025-12-20T08:23:42,35,12,13.026436,1.001087,679110,112.83757935387969,143.355827982078,256.1934073359577
intel-manager,2025-12-20T08:23:43,35,13,14.028441,1.002005,679110,126.10848078701126,153.47772019289434,279.5862009799056
intel-manager,2025-12-20T08:23:44,35,14,15.030429,1.001988,679110,118.03153807909595,131.5896334787498,249.62117155784574
intel-manager,2025-12-20T08:23:45,35,15,16.032393,1.001964,679110,125.59120029624737,146.95933331169564,272.550533607943
intel-manager,2025-12-20T08:23:46,35,16,17.034403,1.00201,679110,120.15934285894875,148.19453112962677,268.3538739885755
